ID,E-value,Label
B0BN70,0.2708912800502035,0
Q9J5J1,0.1180387392763971,0
Q5FJH3,0.3152580459075053,0
B7M718,10.0,0
B4SP18,0.2289178649734743,0
Q891H2,0.0962902721629742,0
P33880,10.0,0
C5G8R4,10.0,0
A1WU56,10.0,0
Q3K3U3,10.0,0
Q9YLG5,0.0697573874055075,0
P32450,0.1337508471986941,0
Q4UZE2,0.0376306912595919,0
B2SC53,0.1199680165587609,0
B2UV27,10.0,0
Q9JK41,0.2892061712034057,0
Q55CW2,1.0,0
P86238,0.2994056966260969,0
Q5L6T1,0.082322477098392,0
P46374,0.1864430821021096,0
Q5ZKL7,10.0,0
A2X6X1,10.0,0
Q7N439,10.0,0
Q9Z733,10.0,0
Q9ESJ1,10.0,0
Q86SD8,3.798966882471857e-05,0
P32547,0.0326135337554927,0
Q2G260,10.0,0
P09466,10.0,0
B7MWG3,0.0237661220476358,0
Q8A9U6,0.2062087239603262,0
T1RRS0,10.0,0
Q0SQC8,0.2101565091810132,0
P36863,0.1942048625734702,0
O03792,10.0,0
Q99390,10.0,0
P51321,10.0,0
D7E8Z9,10.0,0
Q8VZ42,10.0,0
Q9V2J6,10.0,0
Q6B0Y1,10.0,0
B5XZM3,10.0,0
P0DC96,0.1463613686082577,0
Q89846,0.1516739115897583,0
Q9FK53,10.0,0
A4FG06,0.1862247561189562,0
Q56UN5,10.0,0
Q3UDK1,0.4210082775088694,0
Q88C26,0.1890942595440624,0
Q17QN4,0.1128834813028234,0
A5CVJ3,10.0,0
A1KGL4,10.0,0
B5XU27,10.0,0
A4VLZ8,10.0,0
B0UA74,0.2691714983774451,0
Q2YBP9,0.1930363459994745,0
A7GL73,0.2887853990826624,0
Q5M347,0.1035904208693941,0
Q5FF20,0.0743733621616369,0
P17818,0.1466248812495692,0
P9WL70,10.0,0
Q6LZN6,10.0,0
A9R115,10.0,0
Q04U41,10.0,0
P43723,10.0,0
Q88AM9,10.0,0
A0LUK7,10.0,0
Q9ESG9,0.2624197996579067,0
A4KA53,0.0308691504436887,0
Q6CHD6,10.0,0
Q5R4V4,10.0,0
Q28F51,0.1513910611680688,0
A7Z848,10.0,0
Q88M43,0.1754734702801967,0
P41680,10.0,0
Q9R024,0.1320288342786787,0
Q01JD1,0.0377431819897553,0
A0AJ80,10.0,0
Q34949,10.0,0
B7USC9,0.1208258550837654,0
P51514,10.0,0
A0LEQ8,0.1453808211187512,0
Q3ED38,10.0,0
Q8VDS4,0.1507376696245325,0
P29784,0.2525331068243094,0
Q6PAL7,0.0834104918694072,0
Q8XCJ6,10.0,0
B1XTM5,10.0,0
A3CX01,0.107775180163418,0
P35132,0.1086640603988144,0
Q5F6K6,10.0,0
Q5V574,10.0,0
Q1C1E0,0.2616538396927486,0
P0A2J4,10.0,0
P57566,0.1338113871414376,0
Q9WUH5,10.0,0
P50579,0.1030329490303125,0
P82003,10.0,0
B3DTN1,10.0,0
P83437,0.3637677832253651,0
Q65U90,0.19145815556494,0
P03879,0.0653192645498518,0
B0UUY3,10.0,0
B7LE13,0.0278495059789552,0
Q09049,10.0,0
Q4R5M8,0.3053047292167479,0
D4A0X3,0.0979680517938729,0
A5ITS0,10.0,0
B5F9X0,0.1088489915878873,0
P29116,0.1395775074038353,0
C3MDQ7,0.1539334984294907,0
Q7NL66,0.1402871734510018,0
P0DJ25,0.1199266693719308,0
Q9CXN7,10.0,0
C0K3N4,1.0,0
Q5L5W7,0.2188824425353694,0
P0AGN0,10.0,0
Q6R7G8,10.0,0
B5XJ63,10.0,0
B7I4X4,10.0,0
B0REX1,10.0,0
O08734,0.2272565985990812,0
Q9CPW9,10.0,0
A3D7P1,0.2701528695274428,0
C3NG04,10.0,0
Q8VQ99,10.0,0
Q8CMU8,10.0,0
A5DGN9,0.2525398597503742,0
A4YH38,10.0,0
C1EWU0,10.0,0
P47353,10.0,0
Q3AN58,0.0297979306981661,0
P36086,0.1284531891137314,0
B2U2X8,10.0,0
B8ZML9,10.0,0
Q211G2,0.3199818580148123,0
A4QKI7,10.0,0
A7MX36,10.0,0
Q5NFF3,0.176069325148533,0
Q9YDD0,10.0,0
Q129L2,10.0,0
B1JAT7,10.0,0
Q9UTC0,1.0,0
Q8ZCK0,0.1194919085935763,0
A3MV61,0.1233228975896412,0
Q9PN27,10.0,0
C1FTW3,0.2092932901926578,0
Q57GZ6,0.0693407554992354,0
Q04AV7,10.0,0
O24326,0.1206970179420217,0
Q9F4K4,10.0,0
Q1W3A5,0.2396921482147901,0
B9J289,0.1523201207868661,0
A8GYH2,10.0,0
Q2P8H9,0.0551602780778217,0
